strategy,num_urgent,rule,replication,elAppWT,elScanWT,urScanWT,OT,OV
S1,11,4,0,4.242795320814787,0.07599381548292986,3.242591622950026,1.247254259049739,0.3855426921580274
S1,11,4,1,4.8935236262849156,0.07747598809214332,3.2967634232086738,1.249018934669534,0.39543516384631044
S1,11,4,2,5.336668734119731,0.07465843171976233,3.402170979412513,1.2665136045241456,0.40978488303464267
S1,11,4,3,4.814701851789777,0.0756320302109637,3.2642835483433297,1.2108378090062328,0.3913571116321345
S1,11,4,4,4.615261402955046,0.07420360331655032,3.3074143104721547,1.2180826762049632,0.3949622730065591
S1,11,4,5,4.722235893217479,0.0769272711231754,3.4188244262618657,1.2929820825602654,0.4079779276792002
S1,11,4,6,5.47187642225843,0.0760008461130693,3.3422270734518476,1.2913225756021995,0.4039292567065054
S1,11,4,7,4.9239910149201185,0.07519799880496805,3.1976234041872247,1.262575020533974,0.3846009596810415
S1,11,4,8,4.886996083513269,0.07826702019319506,3.328339535097884,1.1425361154427152,0.3989047663016296
S1,11,4,9,4.88082656558825,0.07450051461098466,3.2503175829550797,1.2888980337132219,0.3901989371870024
S1,11,4,10,5.128383157205522,0.07565843757026487,3.2590951374008763,1.249632776011983,0.3926477721548921
S1,11,4,11,4.818161235458252,0.0759089308154998,3.270625527036521,1.2802001432559904,0.39208236750083314
S1,11,4,12,4.8809559025538505,0.07367334766235806,3.2511028020731736,1.2213419671202976,0.39028695361856997
S1,11,4,13,5.2928323942612305,0.07823766122384677,3.276185901756073,1.3060417921955367,0.39552561047842016
S1,11,4,14,4.973709388047237,0.07686360352521139,3.162053245983645,1.2461449933267283,0.380944662577829
S1,11,4,15,4.981713275217681,0.07552786091241986,3.2306638700927754,1.26043353796517,0.3886157074421597
S1,11,4,16,5.196892904183309,0.07630354449531707,3.2718681954896054,1.234680403577864,0.3944747969443806
S1,11,4,17,4.822573038826965,0.07984673500820871,3.259541373529133,1.2121562698788033,0.39087705562323877
S1,11,4,18,4.764424619339859,0.076873488007632,3.36303670359388,1.3229477166632113,0.4020304151969779
S1,11,4,19,4.761522005927776,0.07826123034491901,3.3245981336811203,1.2553062257007073,0.3977421855236628
S1,11,4,20,4.9837713966985175,0.07566534841106248,3.2546538018843174,1.2504990575214308,0.39129350614209785
S1,11,4,21,4.679079078904018,0.07440811127428917,3.338502009928438,1.2778457620570431,0.3987963289537789
S1,11,4,22,4.5783357276467775,0.07856972025966685,3.3331779888736643,1.2759371845111152,0.39760510825370143
